School,W,L,OSRS,DSRS,SRS,OffPts,DefPts,PassOff,PassDef,RushOff,RushDef,TotOff,TotDef,Conference,Year
Oregon,13,2,14.36,7.86,22.22,61.16,5.13,11.41,5.1,6.57,3.39,8.58,4.13,PAC-12,2014
UCLA,10,3,11.01,3.39,14.4,53.08,8.68,9.58,4.72,6.23,3.03,7.69,3.89,PAC-12,2014
USC,9,4,7.74,6.65,14.39,51.31,6.26,9.86,4.91,5.07,2.94,7.29,3.91,PAC-12,2014
Arizona State,10,3,10.24,3.02,13.26,52.01,11.48,9.12,6.07,5.19,3.19,7.05,4.39,PAC-12,2014
Stanford,8,5,-2.79,15.21,12.42,40.91,-2.27,9.15,3.51,5.28,2.29,6.97,2.8,PAC-12,2014
Arizona,10,4,6.51,5.39,11.9,49.37,8.71,8.29,5.54,5.4,3.32,6.8,4.29,PAC-12,2014
Utah,9,4,4.76,5.08,9.84,47.17,8.08,8.28,5.41,5.37,3.02,6.56,3.97,PAC-12,2014
Washington,8,6,1.73,4.8,6.52,42.78,8.72,8.29,5.8,5.1,2.82,6.4,4.17,PAC-12,2014
California,5,7,12.7,-10.15,2.55,54.48,22.53,9.45,6.49,5.15,3.36,7.42,5.03,PAC-12,2014
Oregon State,5,7,0.11,-1.53,-1.42,41.07,15.4,8.37,5.33,4.84,4.02,6.77,4.59,PAC-12,2014
Washington State,3,9,6.86,-8.4,-1.54,48.5,21.22,8.94,6.56,2.94,3.19,7.35,4.9,PAC-12,2014
Colorado,2,10,2.91,-6.54,-3.63,44.24,20.32,7.66,5.61,5.12,4.84,6.47,5.15,PAC-12,2014
Georgia Tech,11,3,13.44,2.48,15.92,55.23,9.17,10.98,6.13,7.24,3.8,8.1,4.96,ACC,2014
Florida State,13,1,10.59,3.9,14.48,52,9.91,9.98,5.53,5.74,3.25,7.96,4.28,ACC,2014
Clemson,10,3,-1.31,12.94,11.63,45.25,0.3,8.97,3.58,4.45,1.86,6.49,2.67,ACC,2014
Louisville,9,4,5.74,4.79,10.52,48.48,7.58,9.42,4.93,4.98,2.49,7.01,3.68,ACC,2014
Miami (FL),6,7,1.26,6.78,8.04,43.95,6,9.6,4.57,6.08,2.45,7.72,3.4,ACC,2014
Virginia Tech,7,6,-1.93,8.64,6.71,38.72,3.18,7.47,5,4.82,2.78,6.04,3.8,ACC,2014
Duke,9,4,3.59,3.05,6.64,46.74,10.5,7.16,5.27,5.7,3.83,6.44,4.47,ACC,2014
