School,G,Pts,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotYds,TotAvgYds,Pass1D,Rush1D,Pen1D,Tot1D,Penalties,PenaltyYds,Fum,Int,TotTO,Conference,Year
Stanford,13,16.4,18.8,33.1,57,177.9,0.9,34.1,104.5,3.1,0.9,67.2,282.4,4.2,9,6.5,1.4,16.8,6.2,53.8,0.3,0.9,1.2,PAC-12,2014
Oregon,15,23.6,23.4,38.7,60.4,264.3,1.4,39.1,165.4,4.2,1.5,77.9,429.7,5.5,12.6,8.8,1.9,23.3,6.1,53.9,1.4,0.9,2.3,PAC-12,2014
Washington,14,24.8,24.5,38.5,63.6,286.6,1.9,37.8,124.1,3.3,1,76.3,410.6,5.4,13.4,7.2,1.9,22.6,6.1,52.7,1.1,0.9,2.1,PAC-12,2014
Utah,13,24.9,20.5,34.6,59.3,246.6,1.8,39,146.8,3.8,0.9,73.6,393.5,5.3,9.9,8.7,2.2,20.8,5.8,50.9,0.7,0.9,1.6,PAC-12,2014
USC,13,25.2,24.8,42.2,58.8,274.5,1.5,34.9,133.5,3.8,1.5,77.1,408,5.3,12.4,7.7,3.2,23.2,6.2,54.8,0.7,1.1,1.8,PAC-12,2014
Arizona State,13,27.9,20.7,34.8,59.4,259.7,1.7,39.3,157.4,4,1.3,74.2,417.1,5.6,11.2,7.7,1.2,20.1,7,61.2,1,1.1,2.1,PAC-12,2014
UCLA,13,28.1,23.5,38.2,61.6,250.6,1.7,38.8,147.9,3.8,1.5,77.1,398.5,5.2,11.6,8.5,2.5,22.7,5.7,51.1,0.4,0.8,1.2,PAC-12,2014
Arizona,14,28.2,24.9,38.1,65.4,281.2,2,41.4,169.9,4.1,1.4,79.6,451.1,5.7,13.4,8.6,2.1,24.1,8.9,77.6,0.9,0.9,1.9,PAC-12,2014
Oregon State,12,31.6,21.3,36.3,58.9,248.1,1.7,34.3,158.3,4.6,2,70.6,406.3,5.8,11.1,8.3,2.6,22,7.2,66.2,0.6,0.9,1.5,PAC-12,2014
Washington State,12,38.6,23,35.8,64.3,296.6,2.8,35.8,145.7,4.1,1.5,71.6,442.3,6.2,11.7,7.3,2.3,21.3,7.9,69.9,0.4,0.3,0.7,PAC-12,2014
