School,G,Pts,PassCmp,PassAtt,CompPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,TotPlays,TotYds,TotAvg,Pass1D,Rush1D,Pen1D,Tot1D,Penalties,PenYds,OffFum,OffInt,TotTO,Conference,Year
Oregon,15,45.4,21.7,31.6,68.8,312.5,2.9,42.9,234.5,5.5,2.8,74.5,547,7.3,13.2,12.2,1.7,27.1,8.2,72,0.5,0.3,0.7,PAC-12,2014
California,12,38.3,27.3,44.5,61.4,345.3,3.1,36.6,149,4.1,1.8,81.1,494.3,6.1,15.6,8.3,2.7,26.5,8.9,82.6,0.8,0.8,1.7,PAC-12,2014
Arizona State,13,36.9,21.6,35.9,60.2,273.5,2.6,39.1,168.8,4.3,1.5,75,442.3,5.9,12.8,8.5,1.9,23.2,4.5,32.4,0.3,0.7,1,PAC-12,2014
USC,13,35.8,24.5,35.4,69.1,296.6,3,40.2,161,4,1.4,75.6,457.6,6.1,12.7,9.4,1.6,23.7,8.8,78.7,0.5,0.4,0.9,PAC-12,2014
Arizona,14,34.5,22.9,40.3,56.7,281.8,2.1,41.1,181.9,4.4,1.9,81.4,463.7,5.7,12.6,9.1,3,24.7,6.6,62.9,0.6,0.7,1.3,PAC-12,2014
UCLA,13,33.5,22.9,33.5,68.5,258.3,1.8,42.8,209.5,4.9,2,76.3,467.8,6.1,10.9,11.1,1.4,23.4,8,75.3,0.8,0.5,1.2,PAC-12,2014
Washington State,12,31.8,42.5,64.3,66.1,477.7,3.8,20.3,39.8,2,0.4,84.5,517.5,6.1,20.9,3.8,2.5,27.2,7.8,67.7,0.6,1.5,2.1,PAC-12,2014
Utah,13,31.3,17.6,29.1,60.6,197.7,1.5,43.5,190.4,4.4,1.6,72.5,388.1,5.3,8.6,9.7,1.2,19.5,5.9,54,0.6,0.6,1.2,PAC-12,2014
Washington,14,30.2,18.2,28.6,63.8,200.1,1.4,43.4,188.6,4.3,1.6,71.9,388.6,5.4,8.6,9.9,1.4,20,7,61.8,0.8,0.4,1.2,PAC-12,2014
Colorado,12,28.5,29,45.4,63.9,284.1,2.4,37.6,155,4.1,1.1,83,439.1,5.3,13.3,8.4,3,24.7,7.2,67.8,0.5,1.3,1.8,PAC-12,2014
Stanford,13,27.2,19.1,29.3,65.1,229.8,1.5,36.7,158.8,4.3,1.7,66,388.6,5.9,11.5,7.3,1.7,20.5,5.8,48.5,1,0.6,1.6,PAC-12,2014
Oregon State,12,25.7,24.2,39.3,61.4,275.4,1.3,31.3,118.2,3.8,1.6,70.7,393.6,5.6,11.5,6.5,2.8,20.8,8.9,79.8,0.5,0.7,1.2,PAC-12,2014
Georgia Tech,14,37.9,7.6,14.5,52.2,134.4,1.4,56.4,342.1,6.1,3.4,70.9,476.5,6.7,5.6,18.5,0.9,25,4.9,41.1,0.9,0.4,1.3,ACC,2014
Florida State,14,33.7,23.6,36.9,64,303.3,1.9,32.2,138.1,4.3,1.9,69.1,441.4,6.4,13.4,7.9,1.7,23,6.2,47.7,0.9,1.4,2.3,ACC,2014
